2025-05-10 18:06:26,448 - Packet #171 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:26,449 - Packet #172 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:26,605 - Packet #173 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:26,837 - Packet #174 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:26,881 - Packet #175 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:27,952 - Packet #178 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:27,953 - Packet #179 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:28,037 - Packet #180 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:28,355 - Packet #181 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:28,394 - Packet #182 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:28,709 - Packet #183 | Source: 192.168.215.81:5353 | Destination: 224.0.0.251:5353 | Protocol: UDP
2025-05-10 18:06:28,961 - Packet #185 | Source: 192.168.215.81:5353 | Destination: 224.0.0.251:5353 | Protocol: UDP
2025-05-10 18:06:28,962 - Packet #187 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:28,971 - Packet #188 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:28,972 - Packet #189 | Source: 192.168.215.81:5353 | Destination: 224.0.0.251:5353 | Protocol: UDP
2025-05-10 18:06:29,067 - Packet #191 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:29,237 - Packet #192 | Source: 192.168.215.81:5353 | Destination: 224.0.0.251:5353 | Protocol: UDP
2025-05-10 18:06:29,410 - Packet #194 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:29,451 - Packet #195 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:29,452 - Packet #196 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:29,488 - Packet #197 | Source: 192.168.215.81:55096 | Destination: 192.168.215.225:53 | Protocol: UDP
2025-05-10 18:06:29,489 - Packet #198 | Source: 192.168.215.81:50436 | Destination: 192.168.215.225:53 | Protocol: UDP
2025-05-10 18:06:29,503 - Packet #199 | Source: 192.168.215.81:5353 | Destination: 224.0.0.251:5353 | Protocol: UDP
2025-05-10 18:06:29,503 - Packet #200 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:29,507 - Packet #202 | Source: 192.168.215.81:5353 | Destination: 224.0.0.251:5353 | Protocol: UDP
2025-05-10 18:06:29,508 - Packet #204 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:29,513 - Packet #205 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:29,515 - Packet #206 | Source: 192.168.215.225:53 | Destination: 192.168.215.81:50436 | Protocol: UDP
2025-05-10 18:06:29,517 - Packet #207 | Source: 192.168.215.225:53 | Destination: 192.168.215.81:55096 | Protocol: UDP
2025-05-10 18:06:29,519 - Packet #208 | Source: 192.168.215.81:60323 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:29,519 - Packet #209 | Source: 192.168.215.81:60324 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:29,539 - Packet #210 | Source: 192.168.215.81:60325 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:29,539 - Packet #211 | Source: 192.168.215.81:60326 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:29,817 - Packet #216 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60325 | Protocol: TCP
2025-05-10 18:06:29,861 - Packet #217 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60326 | Protocol: TCP
2025-05-10 18:06:29,862 - Packet #218 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60324 | Protocol: TCP
2025-05-10 18:06:29,864 - Packet #219 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60323 | Protocol: TCP
2025-05-10 18:06:29,865 - Packet #220 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:29,866 - Packet #221 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:30,312 - Packet #234 | Source: 192.168.215.81:60331 | Destination: 54.196.118.119:443 | Protocol: TCP
2025-05-10 18:06:30,335 - Packet #238 | Source: 54.196.118.119:443 | Destination: 192.168.215.81:60331 | Protocol: TCP
